BatchNo,Temperature
2019-08-23,100.2
2019-08-23,96.22222222219999
2019-08-23,96.6153846154
2019-08-23,94.5384615385
2019-08-23,91.64285714290001
2019-08-23,94.0
2019-08-23,93.32142857139999
2019-08-23,93.85185185190001
2019-08-23,97.42857142860001
2019-08-23,96.7857142857
2019-08-23,98.85185185190001
2019-08-23,94.89285714290001
2019-08-23,102.5357142857
2019-08-23,97.962962963
2019-08-23,93.0
2019-08-23,97.29629629629999
2019-08-23,100.0
2019-08-23,99.3333333333
2019-08-23,116.75
2019-08-23,116.64285714290001
2019-08-23,104.9642857143
2019-08-23,97.6818181818
2019-08-23,97.1153846154
2019-08-23,103.8148148148
2019-08-23,98.07142857139999
2019-08-23,92.74074074069999
2019-08-23,97.7857142857
2019-08-23,104.0
2019-08-23,104.70370370370001
2019-08-23,106.9230769231
2019-08-23,105.9
2019-08-23,105.85185185190001
2019-08-23,101.1818181818
2019-08-23,102.25
2019-08-23,99.6666666667
2019-08-23,100.3333333333
2019-08-23,102.3333333333
2019-08-23,98.037037037
2019-08-23,99.0
2019-08-23,99.74074074069999
2019-08-23,101.6666666667
2019-08-23,113.2857142857
2019-08-23,104.85185185190001
2019-08-23,103.0769230769
2019-08-23,97.22222222219999
2019-08-23,97.70370370370001
2019-08-23,101.5925925926
2019-08-23,97.9259259259
2019-08-23,96.29629629629999
2019-08-23,98.962962963
2019-08-23,100.67857142860001
2019-08-23,99.7142857143
2019-08-23,100.0
2019-08-23,108.6086956522
2019-08-23,94.8333333333
2019-08-23,97.0769230769
2019-08-23,98.75
2019-08-23,112.4347826087
2019-08-23,112.9642857143
2019-08-23,113.5
2019-08-23,94.29629629629999
2019-08-23,113.0
2019-08-23,110.37037037040001
2019-08-23,108.0
2019-08-23,107.22222222219999
2019-08-23,106.5185185185
2019-08-23,106.037037037
2019-08-23,108.9615384615
2019-08-23,108.5
2019-08-23,107.0
2019-08-23,106.0
2019-08-23,106.0
2019-08-23,105.6666666667
2019-08-23,106.89285714290001
2019-08-23,106.14814814809999
2019-08-23,111.962962963
2019-08-23,98.962962963
2019-08-23,108.9259259259
2019-08-23,100.0
2019-08-23,100.6666666667
2019-08-23,106.0
2019-08-23,100.77777777780001
2019-08-23,100.1111111111
2019-08-23,100.89285714290001
2019-08-23,102.3333333333
2019-08-23,106.1904761905
2019-08-23,103.7857142857
2019-08-23,100.037037037
2019-08-23,102.6666666667
2019-08-23,99.0769230769
2019-08-23,102.64285714290001
2019-08-23,101.0
2019-08-23,100.4444444444
2019-08-23,99.0
2019-08-23,106.4444444444
2019-08-23,107.22222222219999
2019-08-23,104.82142857139999
2019-08-23,104.8888888889
2019-08-23,104.14814814809999
2019-08-23,101.5185185185
2019-08-23,100.67857142860001
2019-08-23,103.037037037
2019-08-23,92.0
2019-08-23,100.0
2019-08-23,111.5185185185
2019-08-23,110.77777777780001
2019-08-23,107.22222222219999
2019-08-23,109.85185185190001
2019-08-23,115.5555555556
2019-08-23,110.6666666667
2019-08-23,105.14285714290001
2019-08-23,99.72727272729999
2019-08-23,109.62962962959999
2019-08-23,106.14814814809999
2019-08-23,112.89285714290001
2019-08-23,107.4761904762
2019-08-23,113.42857142860001
2019-08-23,106.25925925930001
2019-08-23,106.17857142860001
2019-08-23,107.4074074074
2019-08-23,109.037037037
2019-08-23,106.037037037
2019-08-23,105.4642857143
2019-08-23,105.0
2019-08-23,111.70370370370001
2019-08-23,113.4074074074
2019-08-23,88.85714285709999
2019-08-23,107.3333333333
2019-08-23,100.0
2019-08-23,101.17857142860001
2019-08-23,100.7142857143
2019-08-23,96.85714285709999
2019-08-23,91.7857142857
2019-08-23,94.2307692308
2019-08-23,96.0
2019-08-23,99.60714285709999
2019-08-23,99.30769230770001
2019-08-23,101.29629629629999
2019-08-23,102.5384615385
2019-08-23,112.28
2019-08-23,115.5769230769
2019-08-23,102.77777777780001
2019-08-23,102.8888888889
2019-08-23,99.5357142857
2019-08-23,98.0
2019-08-23,102.3333333333
